prompt,completion
"Afinal , ninguém mais quer saber de o principe de a Bela Adormecida , então porque nao um vampiro perfeito que tem mais participação em a historia ?",
"Sim , concordo que a Bella é chata .",Bella
"E sim , gosto de as duas modalidades de vampiros introduzidas atualmente .",
"Ps : título referente a nova paródia lançada sobre a saga Twilight , Opúsculo , referenciando uma comparação entre os pontos positivos e negativos de o livro .",
Crepúsculo,
"?NUNCA PENSEI MUITO EM como morreria ? embora em os últimos meses tivesse motivos suficientes para isso - , mas , mesmo que tivesse pensado , não teria imaginado que seria assim . (",
"? ) Sem dúvida era uma boa forma de morrer , em o lugar de outra pessoa , de alguém que eu amava . Nobre",
", até . Isso",
devia contar para alguma coisa . ?,
Isabella Swan chega a a nublada e chuvosa cidadezinha de Forks ? último lugar onde gostaria de viver . Tenta,
"se adaptar a a vida provinciana em a qual aparentemente todos se conhecem , lidar com sua constrangedora falta de coordenação motora e se habituar a morar com um pai com quem nunca conviveu . Em",
seu destino está Edward Cullen . Ele,
"é lindo , perfeito , misterioso e , a a primeira vista , hostil a a presença de Bella ? o que provoca em ela uma inquietação desconcertante . Ela",
se apaixona . Ele,
", em o melhor estilo ?amor proibido? , alerta : Sou um risco para você . Ela é uma",
garota incomum . Ele é um,
vampiro . Ela precisa aprender,
"a controlar seu corpo quando ele a toca . Ele , a",
controlar sua sede por o sangue de ela . O que Bella,
"não percebe é que quanto mais se aproxima de ele , maior é o perigo para si e para os que a cercam . E pode ser",
"tarde demais para voltar atrás? Combinando sensualidade e mistério , romance e fantasia , Stephenie Meyer produz uma trama de extraordinário suspense em este primeiro volume de a série que marcou sua estréia literária . Tremendamente sedutor , Crepúsculo","trama
Crepúsculo"
mantém seus leitores ligados até a última página .,
É ...,
Então né ... Por onde começar ?,
"Imagine que você é uma adolescente de 12 anos , que usa cor-de-rosa e quer dar uma de durona , lendo coisas mais sombrias .",
"Agora imagine que você está andando por a escola quando encontra um modelo de a Calvin Klein , todo bombado que é o ' galã popular ' .",
"Pois bem , essa é minha definição de Crepúsculo .",
"Não sei o que acontece com os livros de a Steph , mas toda vez que chego em o clímax eu desanimo .",
"Em Crepúsculo , quando cheguei em a parque de o jogo de beisebol eu já não tinha mais vontade de ler .",
Fiquei mais de duas semanas enrolando para me entusiasmar .,
"Quando terminei de ler , fiquei com a sensação de "" Nossa ... Eu li ' isso ' ? """,
"Não foi uma tragédia , mesmo porque a parte que me interessou foi o contato de a Bella com o Edward , mas o que me incomoda é o jeito que ela praticamente se anula quando tá com ele .",
"O livro é bom , mas eu reafirmo : Eu li os clássicos , como Drácula e Entrevista com vampiro e Vampiro Lestat , então é muito difícil assimilar um vampiro que brilha em o sol a o invés de queimar até morrer ...",livro
Crepúsculo - Saga Twilight,
Crepúsculo é o primeiro livro de a Saga Twilight que conta a história de um romance entre uma mortal e um vampiro .,
"Inicialmente o livro é um pouco monôtono , muito detalhista e repetitivo .",livro
"Também acho que a autora ( ou talvez a tradutora , não sei ) poderia ter escrito melhor algumas partes , pois pra mim tem frases muito mal compostas .",frases
"A história se passa em uma cidadezinha chamada Forks que fica a o norte de os Estados Unidos , próximo a o Canadá .",
Apesar de todas as críticas que acabei de fazer a história acaba melhorando muito de o meio para o final de o livro e você se vê envolvido em a saga de uma forma inesperada .,
"Se você analisar friamente , histórias entre mortais e vampiros não são nenhuma novidade .",
"Digamos que toda o conjunto de a história não tenha nada demais , mas a autora descreve tão bem o sentimento de a protagonista que fica impossível você não querer saber mais e mais .",
Eu devorei o livro tão rápido e fiquei mergulhada em o suspense de tal forma que sai correndo para comprar o livro 2 de a saga .,
"Muito melhor de o que o livro 1 o Lua Nova tem mais suspense , ação e é cativante .",
Nao tenho nem palavras ...,
"Desde de o primeiro livro , de o primeiro capitulo , de a primeira frase , de a primeira palavra , de a primeira letra ... Eu já estava encantanda com ele , de todos os livros que eu ja li posso dizer com certeza que essa saga é a melhor de todos os tempos é a melhor que eu já li , e tbm deve ser a dem uitas pessoas .",
"Esse romance de vampiros com ser humano nao tem igual simplismente amei RECOMENDO A TODOS ... esse livro é aquele que se pode chamar de "" O LIVRO ""","romance
livro"
"Fraquinho fraquinho ... O romance não tem nada de interessante , sendo uma fórmula batida e nem bem utilizada .",romance
"Bella é uma personagem muito plana , sem graça e previsivel .",Bella
"E o Edward nem personalidade tem , é uma casca bonita .",Edward
"O enredo é ruim e a autora quis dar algo diferente em ele jogando o fator "" vampiresco "" mas isso prejudica ainda mais o livro , pois o torna ridiculo , a autora deturpa as lendas de as criaturas de a noite .","enredo
livro"
E não mostra nenhuma pesquisa em qualquer momento de o livro .,
"É um livro simples e rápido de ser lido , até serve como livro de cabeceira .",livro
A notoriedade de o livro se deve em reproduzir um romance bonitinho entre o cara perfeito e uma menina comum .,
Pode - se pular páginas de esse livro sem problema algum de perder o fio de a história .,
"E as reações de Bella e Edward são ... Inexplicáveis , duma maneira ruim .",
Eles se apaixonam a primeira vista e não há nenhum desenvolvimento em esse aspecto .,
Nada além duma servidão de Bella a a Edward .,
"Ela se apaixona por o cara lindo e com um toque de perigo que há em ele , não por sua personalidade .",
"Em o final de as contas , não entendo porque o livro fez tanto sucesso .",
Ainda não li as continuações para poder fazer uma critica mais contundente a série inteira .,
crépúsculo- resenha,
"bella é uma adolecente de 14 anos que se muda para a cidadesinha de Forks , para morar com o pai .",
ela conhece um garoto misterioso que se chama Edward Cullen .,
"Bella descobre que ele é um vampiro e que seu sangue o traí mais de o que o de os outros mas , mesmo com o perigo que corre os dois se apaixonam e vivem uma linda , perigosa e apaixonante aventura .",
"O livro é bom , mas não ótimo",
"Quando começei a ler estava com uma grande perspectiva pois todos diziam que esse livro era ótimo , mas confesso que me decepcionei ... o início é muito parado , só a partir de a metade que foi melhorando .","livro
início"
"O livro é bom , mas não ótimo !",
"Sou fascinada por historias de vampiros , sempre gostei de jogos filmes e livros que tratavam de esse assunto .. agora quando se mistura vampiros , morte e amor meu .",
sem comentários .,
"amei esse livro , Stephenie Meyer consegue trazer todos os sentimentos de Bella com uma facilidade muito grande , vc acaba sentindo o mesmo , entra em a historia de uma maneira indescritível ... AMEIIIII",livro
Lindo demais !,
O livro com uma historia perfeita e personagens mais ainda !,"historia
personagens"
Sua historia deixa vc incapaz de largar o livro e de ir por o mundo a fora procurar seu Edward Cullen !,historia
"Gostosa leitura , uma historia que logo em as primeiras paginas te prende muito facil .","leitura
historia"
"Riquissimo em detalhes , fazendo com que a imaginação projete tudo relatado em a trama .",
"Destaque para os dialogos entre os personagens principais , impossivel não se emocionar ... Que venha "" lua nova "" .",
Explendido !,
Muito alem de a febre que esse livro se tornou ele é magnifico !,ele
uma historia de amor narrada em palavras simples e levemente detalhista !,
Stphenie meyer foi muito feliz em esse livro e nao é a toa que tem uma repercurssao tão grande !,
Li em 2 dias pois me envolvi rapidamente com a historia e simplesmente nao consegui larga - lo !,historia
Adoreiiiiiiiiiiiiii .. .,
"Como eu li em algum lugar : "" Depois que eu conheci Edward Cullen , os humanos perderam a graça ... """,
1984,
""" Até em as moedas os olhos perseguiam a pessoa .",
"Em as moedas , em os selos , em as capas de os livros , em bandeiras , em cartazes e em as embalagens de os maços de cigarro - em toda parte .",
Sempre aqueles olhos observando a pessoa e a voz a envolvê - la .,
"Dormindo ou acordada , trabalhando ou comendo , dentro ou fora de casa , em o banho ou em a cama - não havia saída .",
"Com exceção de os poucos centímetros que cada um possuía dentro de o crânio , ninguém tinha nada seu .",
""" ( pág 38 ) Confesso que ainda estou meio em estado de choque depois de o contato que tive com 1984 .",1984
"Não , eu não vivo em um mundo de fantasia e não me assustaram os fatos em si narrados em o livro .",
"O que me assustou , comoveu e intrigou é o fato de um livro , que foi publicado por a primeira em 1949 , que narra como seria a vida de as pessoas , as nossas vidas 35 anos a a frente , ter uma mensagem tão pertinente e cabível para os tempos de hoje , 63 anos depois !",livro
"Através de Winston , George Orwell em os conta a história de uma população Governada por um Estado totalitarista a o extremo , onde todos os passos e até pensamentos são controlados .",
"O cenário criado por o autor é sombrio , assustador e transmite uma total falta de liberdade e privacidade que eu jamais fui capaz sequer de imaginar !",
"Winston , um jovem que nem consegue se lembrar a o certo quantos anos tem , achava que tinha 39 anos e trabalhava em o Departamento de Documentação e era responsável por "" reescrever "" a história , uma vez que ela era modificada de acordo as vontades e interesses de o "" Grande Irmão "" , livros didáticos , revistas , jornais , tudo era modificado para atender a os interesses de o Partido .",
"A vida de ele resumia - se em trabalhar , ir para casa , participar de reuniões comunitárias , e tudo isso sendo sempre acompanhado por a teletela , uma espécie de televisão existente em todos os lugares que ficava permanentemente ligada e vigiava cada passo dado , cada palavra dita .",
"A teletela também transmitiam os comunicados oficiais de o Partido , informando sobre a guerra ou com atividades físicas que deviam ser acompanhadas por todos , sem exceção !",
"Porém Winston não era um membro comum , ele odiava o Partido e o Grande Irmão e seus pensamentos não estavam de acordo com o que mandava o regime totalitário , não se conformava com a forma com que as coisas aconteciam e tentava transcrever tudo isso em um diário que havia comprado ilegalmente .",
"Os casamentos em Londres só eram possíveis para fim de procriação , o casal só se unia com esse objetivo , porém Winston de uniu secretamente a Júlia e planejavam alguma forma de se rebelarem contra o Partido .",
E isso é muito perigoso pois o inimigo pode estar em qualquer lugar !,
"George Orwell reconstrói uma sociedade que pode ser reconhecida por qualquer um de nós , a forma como o governo age em relação A A uma guerra que só existe para manter o povo submisso e "" protegido "" .",
A guerra devora o excedente de bens e contribui para preservar a atmosfera mental que convêm a uma sociedade hierárquica .,
""" ( pág .",
235 ) É incrível como alguns conceitos criados por o autor aparecem atualmente em a nossa vida cotidiana como por exemplo a Novafala .,Novafala
"Uma língua que tem por objetivo fazer com que fossem banidos todos os pensamentos hereges que eram possíveis em a velha fala , achei isso muito interessante por que ele recriou toda uma estrutura linguística !",língua
"O conceito de duplipensamento é também um de os pontos altos de a história pois o Partído e o Núcleo do Partido dependiam de o duplipensamento para se manterem em o "" poder "" .",
São pensamentos e conceitos bem complexos mas que fascinam e nos fazem pensar como seria ter que contradizer a si mesmo o tempo todo e se fosse preciso ter que contradizer a própria contradição ?,
"Nossa , acho qe fiquei meio lelé depois de ler esse livro !",
"rsrsrs 1984 é um livro de idéias muito fortes , com uma narrativa que assustam por a riqueza de detalhes com que os fatos são descritos inclusive em situações de tortura sofridas por os que traiam o Partido !",
"É uma distopia muito bem construída que foi , em a época de sua publicação muita criticada por algumas pessoas , confundida inclusive com uma sátira a os regimes totalitários de o passado .",
O livro tem uma diagramação simples em o que diz respeitos A as páginas internas porém a capa e a contra capa tem um charme todo especial .,"capa
contra
capa"
"O livro conta com o Posfácio que enriquecem muito a leitura e nos fazem perceber melhor um pouco mais de a história , funcionaram pra mim como um resumo de o livro !",Posfácio
Se é que isso é possível !,
"Eu indico o livro e acho que pra quem gosta de o gênero é leitura obrigatória , penso até que todas as distopias passaram por 1984 de George Orwell !",livro
Beijos Renata D' Eça,
fiquei assustado,
"estou relendo e TRÊS pessoas hoje a o perguntar o que lia disseram que NUNCA ouviram falar de o livro ou de a história sobre "" Big Brother "" não sabiam de onde veio o termo 8-| por o visto , a SocInd e Novafala já estão em uso",
O livro representa o futuro de a humanidade em a visão de George Orwell .,
"Em a época em que escreveu a obra , o autor empenhava - se em denunciar o papel de o Estado em o aniquilamento de as liberdades individuais e de a cidadania , acreditando que a política tomaria um rumo extremamente opressivo em relação a os cidadãos .",
De acordo com o livro existiriam apenas três continentes .,
"Eurásia , Lestásia e Oceania , e os povos de cada um de estes lugares viveriam confinados dentro de os respectivos sistemas de cada governo .",
"O personagem principal , Winston Smith , é integrante de o partido de o Grande Irmão , entidade que tem controle sobre todos os moradores de a Oceania .",
"Através de televisores espalhados por todo o canto , o G.I veicula informações mentirosas sobre o que está acontecendo com a economia mundial e como está o quadro de guerras internacionais .",
"Dentro de a sua profissão , Winston é responsável por modificar o passado e com isso ele desenvolve desconfiança e ódio por o partido .",
"Durante o enredo ele conhece Júlia , uma ativista política que também odeia o partido e trabalha para que não seja descoberta .",
"Juntos , eles vão atrás de uma fraternidade que os liberte de as suas atuais condições .",
O fim de o livro é surpreendente .,fim
"Após meses de confinamento e tortura , Smith finalmente se rende a o Grande Irmão , desistindo de todos os seus sonhos por uma sociedade mais justa e igualitária e permitindo que o Estado manipule a consciência de as pessoas em o intuito de garantir a sua permanência em o poder .",
A história retrata as atrocidades que o ser humano é capaz de fazer para tirar vantagem sobre as classes mais baixas de a sociedade .,
"É uma ficção que poderia com facilidade ser baseada em fatos reais , se a "" democracia "" não estivesse tão disseminada como atualmente .",
"Este mundo previsto por Orwell é incapaz de existir , mas as crueldades em ele cometidas , são vistas repetidamente em nosso cotidiano .",
""" Guerra é Paz .",
Liberdade é Escravidão .,
Ignorância é Força .,
"É um de aqueles livros que esta em todos os lugares , citado em filmes , series e até outros livros , a ideia de conviver com o Big Brother é apavorante , não que nossa realidade não tenha um pouco de o controle de esses olhos que não vemos , mas espero não estar aqui pra ver o plano completo em pratica .",
"A história é boa , mas não é um livro que conseguiu prender minha atenção .","história
livro"
The Big Brother,
Quando houver a pergunta : qual é a definição de uma concreta dominação mundial ?,
A resposta facilmente poderia ser o modelo de sociedade apresentado em o livro ... O sistema cujo principio é The Big Brother is watching you ... Será possível existir um poder totalitário capaz de limitar as ações e os pensamentos de toda uma população ?,
"Em o ano de 1984 , de o universo alternativo de a obra de George Orwell , o Partido Interno do IngSoc conseguiu modificar de forma absoluta todos os conceitos geopolíticos , econômicos e culturais de todo continente americano tal como conhecemos atualmente .",
"Creio que a intenção de o autor a o escrever 1984 , era imaginar como seriam as conseqüências de a vitória de os regimes totalitários em um potencial futuro e como funcionaria essa sociedade submissa e alienada a esse poder totalitário , lembrando que o livro foi escrito em 1949 .",
"Porém , a sua obra foi muito além de a distopia e , por coincidência ou não , identificamos muitos contextos parecidos com a nossa realidade .",
Um exemplo bastante perceptível é quando o autor cita a potencial força de os proletariados e a alienação passiva de estes a os sistemas políticos .,
O retrato fiel de a sociedade de o seculo XXI .,
O melhor livro de todos os tempos,livro
"Em a minha modesta opinião é o melhor livro que já li , o devorei em poucos dias , fantástico , soberbo !",livro
Incrivelmente assustador,
"Esse livro foi publicado em 1949 , então - como dá para ver por o título - é um livro futurista .",
"Se passa em um mundo completamente novo , onde todos os nossos países estão agrupados em apenas três grandes Estados , depois de uma guerra atômica .",
"Em esse novo mundo , as pessoas ( principalmente os funcionários de o Governo ) estão vinte e quatro horas por dia sob vigilância e controle de o Partido , que tem a capacidade incrível de controlar as mentes e a realidade de uma forma tão absurda e , a o mesmo tempo , tão perfeitamente verossímil que chega a assustar .",
Mesmo .,
"Quem gosta de pensar , consegue muito material aí para paralelos macabros com a realidade .",
Fonte : http://atravesdaspaginas.blogspot.com/2011/05/1984-de-george-orwell.html,
DESAFIO LITERÁRIO 2011 - ABRIL - FICÇÃO CIENTÍFICA *LIVRO 8 - EXTRA*,
"Sinopse : Winston , herói de 1984 , último romance de George Orwell , vive aprisionado em a engrenagem totalitária de uma sociedade completamente dominada por o Estado , onde tudo é feito coletivamente , mas cada qual vive sozinho .",
"Ninguém escapa a a vigilância de o Grande Irmão , a mais famosa personificação literária de um poder cínico e cruel a o infinito , além de vazio de sentido histórico .",
"De fato , a ideologia de o Partido dominante em Oceânia não visa nada de coisa alguma para ninguém , em o presente ou em o futuro .",
"Seus principais ingredientes - um homem sozinho desafiando uma tremenda ditadura ; sexo furtivo e libertador ; horrores letais - atraíram leitores de todas as idades , a a esquerda e a a direita de o espectro político , com maior ou menor grau de instrução .",
"À parte isso , a escrita translúcida de George Orwell , os personagens fortes , traçados a carvão por um vigoroso desenhista de personalidades , a trama seca e crua e o tom de sátira sombria garantiram a entrada precoce de 1984 em o restrito panteão de os grandes clássicos modernos .","escrita
personagens
trama
tom"
"Algumas de as ideias centrais de o livro dão muito o que pensar até hoje , como a contraditória Novafala imposta por o Partido para renomear as coisas , as instituições e o próprio mundo , manipulando a o infinito a realidade .","ideias
centrais
de
o
livro"
É uma obra magistral que ainda se impõe como poderosa reflexão ficcional sobre a essência nefasta de qualquer forma de poder totalitário .,obra
"Bom , tenho o livro em casa e como é um clássico universal , e um FC , resolvi unir o útil a o agradável .",
"Nunca tive vontade de lê - lo , sempre pensava em ele como um livro chato , não sei por que , mas acho também que se tivesse lido em a adolescência , por exemplo , não teria gostado , então ... Como começar a resenha de um livro tão complexo ?",
"O pobre protagonista é um caolho em uma terra de cegos e passa a história toda tentando se convencer de que vai conseguir mostrar para todos , um dia , que realmente tinha um olho ... Winston vive em uma sociedade que o governo monitora desde o que você faz até o que você possivelmente pensa .",
"O passado pode ser modificado , os fatos de o presente mudam de acordo com o desejo de o partido e o futuro ... este não pertence a ninguém , pois os membros de o partido não podem crer em nada , fora em a "" divindade "" de o Grande Irmão .",
O livro mostra como seria a sociedade se o povo fosse acostumado desde cedo a não ter pensamento próprio .,
"É a coisificação de o ser humano , a destruição de valores básicos emocionais , só deixados vivos o instinto de sobrevivência ... Uma lavagem cerebral para que todos sejam submissos a a ideia de o Grande Irmão e possam ser manipulados por o partido .",
Winston faz parte de uma parcela muito pequena de a população de a Oceania que enxerga que há algo de errado naquele governo e tenta fazer alguma coisa para mudá - lo .,
Orwell ( ou Eric Blair ) usa conceitos de história e antropologia para criar as bases para a situação de a Oceania .,
"Acredito que deve ser mais difícil você redesenhar uma realidade de o que criar uma totalmente nova , bato palmas para todos os autores que , como o de 1984 , conseguem fazer isto de forma brilhante e consistente !",
"Uma ideia de o autor , e conhecida nossa , é de que o poder esta em as mãos de o povo , em o caso de o livro , os proletas , cerca de 85 % de a população .",
"Winston fica revoltado porque o povo é uma força avassaladora , mas não tem ideia de o seu próprio poder ... Alguma semelhança com a atualidade ?",
O livro é sufocante se você for que nem eu e preze mais que tudo sua liberdade e independência .,livro
"Em os capítulos finais eu lia com uma taquicardia freqüente , um medo genuíno , e depois ficava pensando em como um autor pode ser tão bom a ponto de fazer com que o leitor se apavore junto com o personagem !","capítulos
finais"
"O autor pegou todos os conceitos de um governo totalitário , tirou todo e qualquer vestígio de humanidade em ele , criando assim um reinado de terror normalmente indireto e praticamente invisível por a própria submissão de a população , ou seja , uma tirania perfeita e por isso mesmo , terrível .",
"O livro é maravilhosamente bem escrito ( aqui parabenizo também os tradutores Alexandre Hubner e Heloisa Jahn ) , e flui de uma forma que você não sente .",livro
"Os personagens são super consistentes , a trama é muito bem feita .","personagens
trama"
"Então , excelente pedida se você quer ler algo que , como diz meu padrasto , diminua a sua lacuna intelectual ! Rs",
"Coloco abaixo um trecho retirado de o diário de Winston , a primeira forma que ele achou de confrontar o sistema , aí pode - se ter a ideia de o que era o mundo de ele : "" A o futuro ou a o passado , a um tempo em que o pensamento seja livre , em que os homens sejam diferentes uns de os outros , em que não vivam sós - a um tempo em que a verdade exista e em o que for feito não possa ser desfeito : De a era de a uniformidade , de a era de a solidão , de a era de o Grande Irmão , de a era de o duplipensamento* - saudações !",
""" *No livro é a palavra , em novafala , para "" controle de a realidade "" Quatro estrelas para ele , e não cinco , pois não gostei de o final !",final
"A ideia de o último capítulo é um balde de água fria , apesar de ser maravilhosamente escrito .","último
capítulo"
*http://desafioliterariobyrg.blogspot.com/*,
"Eu relembrei que , se não nos mexermos , se não os cobrarmos , se continuarmos sendo egoístas , ignaros , ignavos , enfim ( pense em tudo de ruim que temos ) os poderosos poderão "" meter a mão "" , "" roubar em a cara dura "" .",
"Isso já fazem , é óbvio , mas a a medida em que o povo tolera , eles aumentam os seus poderes .",
Comunismo versus megalomania humana,
"George Orwell podia ser comunista , mas não é essa percepção que se tem quando lê - se "" 1984 "" .",
"Em um sistema socialista dominado por o Big Brother , o passado é apagado , a história é escrita de forma manipulatória e as pessoas são condicionadas e supervisionadas por o governo , que detém controle de tudo ( inclusive com uma megalomaníaca ' polícia de o pensamento ' ) .",
"O personagem principal tenta se desvencilhar de essa amarra , mas se vê cada vez mais cercado por o universo artificial criado por o Big Brother , que também inventa constantes guerras e conflitos civis para levantar o moral de um povo cada vez mais oprimido - e que não tem ciência de isso .",
Obra indicada para fãs de teorias conspiratórias .,Obra
Um lutador,
"Talvez os detalhes de o livro não estejam tão frescos em a minha memória , mas com certeza o final impactante não sairá de ela por décadas , e a simples imagem de um homem sentado observando um cartaz com os olhos lacrimejantes e reconhecendo a sua condição , reconhecendo sua fraqueza diante de tamanha conspiração , reconhecendo que seria tão mais fácil se ele não tivesse lutado tanto ... mas a o mesmo tempo passando a mensagem de que ele ( o protagonista ) não teria sido ele mesmo se não tivesse lutado !",final
Orwell mostra de forma extraordinária que nada pode assombrar tanto um homem quanto a mentira .,
Dou meus parabéns para quem consegue ler mais de um capítulo de 1984 de uma sentada só .,
"Porque apesar de ser um livro com uma história muito boa e interessante , ele é extremamente monótono .",livro
A verdade é que 1984 não tem uma história pra contar .,1984
"A o contrário de Laranja Mecânica , onde o personagem principal em os mostra um mundo decadente através de sua história de adolescente rebelde sem causa que é preso , aqui temos um personagem principal que poderia ser qualquer um , afinal o que importa é a situação de a humanidade vivendo em um mundo totalitarista .",
"E é apenas isso que o livro nos mostra , como o mundo vai ser se continuar indo por o caminho que vem seguindo , ou ia seguindo antes de 1984 .",livro
"hehehehe Outra coisa também diferente de seu "" livro-irmão "" é que em Laranja Mecânica , todo o linguajar usado por os jovens é compreensível mesmo sem a ajuda de o glossário embutido em a versão nacional , enquanto que a novilíngua é incompreensível , se bem que pensando agora , acho que é justamente o objetivo de o autor .",novilíngua
É um livro épico .,
"Como já diz a sinopse , a o fim de ele você sente como se tivesse acordado de um pesadelo .",fim
É tão estranho imaginar uma sociedade em que você simplesmente deixa de existir .,
"Dois mais dois nunca é quatro , dois mais dois é o que te dizem que é .",
"Nada é certo , tudo é o que dizem .",
"Não existe um passado , não existe um futuro .",
"Vários trechos têm tendência para "" O Capital "" de Karl Marx , algo que achei GENIAL .","Vários
trechos"
"Eu já tinha visto o filme , mas com certeza assistindo não tinha percebido a quantidade de detalhes que havia .",
"É um livro inteligentíssimo , mas não esperava nada diferente vindo de Orwell .",livro
Realidade ou submissão,
A obra foi escrita em o ano de 1948 e é uma crítica a os regimes totalitários .,
"A história se passa em 1984 , ano em que o Partido assume o poder .",
"A sociedade é totalmente vigiada por teletelas , ou câmeras .",
"De este modo o Partido se torna Onipresente através de o Grande Irmão , mais conhecido como Big Brother .",
Em esta sociedade é proibido pensar diferente e questionar as verdades absolutas .,
"Se o Partido diz que 2+2 é igual a 5 , isto se torna uma verdade .",
"Winston é um funcionário de o Partido , ele trabalha em o Ministério da Verdade e sua função é alterar a realidade , dando um fim a tudo o que vai contra as idéias de o Grande Irmão e reescrevendo dados de acordo com as necessidades de o mesmo .",
"Em esta sociedade , tudo é controlado , até a memória e o conhecimento de as pessoas , o sexo é permitido apenas para procriação e o relacionamento entre dois membros de o Partido é algo proibido .",
"Porém , isto não impede que Winston se relacione com Julia .",
"Em o entanto , o relacionamento de os dois é descoberto e ambos são encaminhados para uma cela e depois para uma sala , onde são torturados , drogados e disciplinados até que aprendam , entendam e aceitem a "" realidade "" .",
Assustadoramente profético,
1984 é um livro único .,1984
"Bons livros existem a os montes , mas 1984 não é só um "" bom livro "" .",1984
É uma assustadora visão de o futuro .,
É a obra-prima de um gênio .,
"É interessante ler o livro agora , um bom tempo depois de a data-título ; e muito tempo depois de ser escrito .",
"Interessante porque o livro é cada vez mais atual : o que antes era um profecia distante , hoje se aproxima de a realidade .",livro
"O fim de a privacidade , de a liberdade , e , sobretudo , de o pensamento .",
"Essa é a forma máxima de o Partido te controlar : se você não pensa ; você não critica , não se rebela , não vive .",
E assim eles conseguem seu objetivo : o poder absoluto .,
"Nada mais , somente o poder , sobre tudo e todos .",
"Dominando a mente de as pessoas em o presente , o Partido vai moldando o passado de acordo com suas necessidades e desejos .",
"Não importa o que você pensa ou lembra , o que o Partido diz é a verdade incontestável .",
"Os quem insistem em "" imaginar "" coisas são eliminados , e assim , nunca existiram .",
Leia o resto :,
Os livros de Orwell são um diálogo incessante : O livro fala e o cérebro responde .,
"Esse é o livro que quanto mais o tempo passa , mais eu entendo .",livro
Ele fala muito sobre muita coisa .,
Parece que eu o vejo em tudo !,
"Eu não me acho apta pra fazer uma resenha adequada , porque eu li faz um tempinho e eu sinto que eu deixaria muito de fora .",
"Então , é isso aí .",
Guerra é Paz,
Diferente de tudo que já li .,
Mostra um mundo que estamos ( quem sabe ?,
) próximos de conhecer .,
"De ele foi retirado o título de o programa Big Brother , em o livro o Grande Irmão ( Big Brother ) é a personificação de um Estado totalitário que domina o mundo onde todos são vigiados todas as horas de o dia , o que fazem , o que deixam de fazer , por onde andam , com quem falam e o que comem .",
"Tudo é feito coletivamente , mas todos vivem isoladamente , em nome dO Partido .",
"Bom livro , mas vou precisar reler para assimilar tudo .",livro
Fascinate !,
A forma com que Gerorge Orwell descreve uma visão de o futuro baseado em os sistemas totalitários de poder é simplesmente fascinante .,"forma
com
que
Gerorge
Orwell
descreve
uma
visão
de
o
futuro
baseado
em
os
sistemas
totalitários
de
poder"
"Mais que uma crítica a o socialismo stalinista , esta obra é uma crítica a todo e qualquer tipo de sistema político que visa a controlar a mente de o povo .",
Um mundo baseado em o medo e em a opressão .,
"E o mais interessante é ver que não somente os sistemas comunistas possuem este poder de dominação , como é visível hoje em muitos sistemas capitalistas .",
"Muitos governantes , através de o medo , dominam o povo e controlam a história , conforme narrado em este livro surpreendente .",livro
Big Brother is watching you,
"Quando o li por a primeira vez estava muito deprimida e não consegui ir até o final , até comprar a minha própria edição .",
"Duas leituras , várias rasuras e resenhas a o redor de as páginas .",
"Hoje , eu falei de ele para um amigo , que ficou todo empolgado , principalmente depois que comecei a falar de as minhas várias teorias que comecei a ter graças a os vários livros de ficção científica fantásticas que há por aí e que são poucos divulgados .",
"1984 "" é o livro que faz parte de a propaganda "" boca-a-boca "" : sempre há alguém que comenta de ele .",
Recomendadíssimo !,
Não é a a toa que é um de os meus favoritos .,
Assustadoramente atual .,
"fala sério , amiga",
"Gente , esse livro é ótimooo vale a pena ler !",livro
É muito gostoso ler ele que dá vontade de ler mais de mil vezes .,ele
eu indico pra todo mundo e posso dizer que amei elee .,elee
"Afinal , como nao amar os livros de a thalita rebouças ?",
"Ela é uma de as minhas escritoras favoritas e com todo esse jeito unico de ela pra escrever , eu sempre amei os livros delaa .",
Devo confessar que já era louca por a Thalita Rebouças antes de ler qualquer livro de ela que fosse .,
Já a acompanhava por o blog e amo as coisas que ela posta .,
E quando eu li o livro me encantei !,livro
"É de aqueles livros que a gente lê bem a os pouquinhos , pra saborear e prestar atenção em cada detalhe .",
"Igual a a chocolate , que se come devagarzinho pra não acabar logo .",
"O tipo de história divertida , narrativa empolgante , e aquele jeitinho brasileiro que a gente deveria valorizar mais .","história
narrativa"
Me identifiquei várias vezes em os casos contados .,
Não vejo a hora de ler os outros livros de a Tatá !,
Um livro brasileiro que tem crônicas excelentes pra se ler em alguns minutos e logo não querer parar de se ler .,crônicas
"A escritora , Thalita Rebouças , sabe escrever sobre a adolescência de uma forma carismática e abordar vários assuntos com classe .",
"Ela é a voz de os adolescente e sabe agradar os grandinhos como eu que gostei e virei fã de ela logo de cara , pois é uma leitura rápida , gostosa e estimulante .",
"Falando de esse livro ... Em ele Malu uma garotinha que lembra que passou com suas amigas , onde prova as amizades que ela faz , constrói , permance e que ficará em a lembrança de ela e de o leitor .",
"Tem muitas crônicas agradáveis , muita coisa bacana sobre a amizade , a mãe que faz queimar a nossa cara , amigos com problemas e qualidades .",crônicas
Enfim um livro muito bom que encontrei e desejo fazer a coleção de a série que divulgarei pra todos pra se divertirem e rir muito .,livro
"Fala sério , mãe !",
- Thalita Rebouças,
"Não sei com quanto anos li este , mas sei que quando era menor , Thalita Rebouças sempre me intrigava com essas histórias de adolescentes divertidas e animadas .",
